,ID,CB_smile,Score,Natom,Nflex,Hbond,Hphob,VwInt,Eintl,Dsolv,SolEl,mfScore,RTCNNscore,dTSsc,ICM_Smile
397,9196392,CNC(=O)c1cccc(c1)S(=O)(=O)Nc1ccccc1F,-21.270954,34,3,-4.115572,-4.146639,-17.69964,3.078519,5.274451,3.055122,-76.170891,-13.537432,0.946299,[H]c1c([H])c([H])c(c(c1[H])N([H])S(c1c([H])c([H])c([H])c(C(N([H])C([H])([H])[H])=O)c1[H])(=O)=O)F
398,99597736,NC(=O)Cn1cc(cn1)-c1cccc2c3ccccc3sc12,-21.269518,35,2,-3.078174,-4.692767,-20.752117,2.738794,7.73014,2.687352,-57.197399,-15.990311,0.969274,[H]c1c([H])c([H])c2c(c1[H])c1c([H])c([H])c([H])c(c3c([H])nn(c3[H])C([H])([H])C(N([H])[H])=O)c1s2
399,7506996,Cn1c(SCC(=O)c2ccc-3c(Cc4ccccc-34)c2)nnc1-c1ccc(N)cc1,-21.266636,50,2,-3.144467,-6.405984,-20.176733,1.358889,10.454729,1.971558,-92.251534,-23.377325,1.159309,[H]c1c([H])c([H])c2c(c1[H])c1c([H])c([H])c(C(C([H])([H])Sc3nnc(c4c([H])c([H])c(c([H])c4[H])N([H])[H])n3C([H])([H])[H])=O)c([H])c1C2([H])[H]
400,7938227,Fc1ccc(NC2=NS(=O)(=O)c3ccccc23)cc1Cl,-21.264433,28,0,-1.140694,-4.316403,-20.852482,2.210543,3.986106,1.591045,-52.058018,-17.061535,0.842799,[H]c1c([H])c([H])c2c(C(=NS2(=O)=O)N([H])c2c([H])c([H])c(c(c2[H])[Cl])F)c1[H]
401,7169754,COc1ccc(NC(=O)C[C@@H]2Nc3cc(C)c(C)cc3NC2=O)c(c1)N(=O)=O,-21.263876,48,3,-3.737274,-4.447983,-19.950378,3.880686,8.426885,1.020272,-51.807903,-13.666941,1.352715,[H]c1c([H])c(c([H])c(c1N([H])C(C([H])([H])[C@@]1([H])C(N([H])c2c([H])c(c(c([H])c2N1[H])C([H])([H])[H])C([H])([H])[H])=O)=O)N(=O)=O)OC([H])([H])[H]
402,66751528,O=C(NCCc1c[nH]cn1)[C@@H]1CCc2ccccc12,-21.260895,36,4,-1.888431,-4.702887,-19.855228,0.705164,5.162718,-0.260817,-53.077286,-18.798859,0.884209,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])[C@@]2([H])C(N([H])C([H])([H])C([H])([H])c1c([H])n([H])c([H])n1)=O
403,9207741,O=C(Cc1csc(n1)-n1cccc1)NCCc1c[nH]c2ccccc12,-21.258789,43,5,-3.964285,-4.925982,-20.251169,4.246587,7.54624,1.689089,-84.234123,-17.182621,1.068399,[H]c1c([H])c([H])c2c(c1[H])c(c([H])n2[H])C([H])([H])C([H])([H])N([H])C(C([H])([H])c1c([H])sc(n1)n1c([H])c([H])c([H])c1[H])=O
404,9103492,O=C(Nc1nccs1)c1cccc(c1)S(=O)(=O)Nc1ccccc1,-21.255222,37,3,-4.017436,-4.259027,-18.516039,2.167013,6.973903,2.951277,-77.223274,-12.671511,1.070034,[H]c1c([H])c([H])c(c([H])c1[H])N([H])S(c1c([H])c([H])c([H])c(C(N([H])c2nc([H])c([H])s2)=O)c1[H])(=O)=O
405,7782193,Cc1ccc(NS(=O)(=O)c2cc(ccc2Cl)[C](=O)=O)c(C)c1,-21.254133,35,4,-3.143736,-4.376593,-19.852507,3.161122,6.570828,0.393257,-85.196251,-17.40848,0.957212,[H]c1c([H])c(c(c([H])c1C(=[O-/2])=[O-/2])S(N([H])c1c([H])c([H])c(c([H])c1C([H])([H])[H])C([H])([H])[H])(=O)=O)[Cl]
406,8921849,Fc1ccc(cc1)-c1cc(n2ncc(-c3ccccc3)c2n1)[C](=O)=O,-21.25367,36,3,-3.946619,-5.054105,-19.435068,4.272802,7.749936,2.085551,-69.29895,-18.152252,1.095565,[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])nn2c(C(=[O-/2])=[O-/2])c([H])c(c3c([H])c([H])c(c([H])c3[H])F)nc12
